,lr,weight decay,hidden size,val acc
0,0.22455767445698543,6.596284392363952e-05,179.0,0.9806666666666667
1,0.19060208054819522,1.567732752558866e-05,246.0,0.9804166666666667
2,0.24490244364695501,5.071338689334446e-06,294.0,0.98025
3,0.191917529933679,1.2117036002230549e-05,292.0,0.9800833333333333
4,0.2144644780706555,9.040468316195077e-07,172.0,0.9799166666666667
5,0.2314053009358809,6.204910744001762e-05,257.0,0.97975
6,0.1796397852409501,5.571035291495239e-06,297.0,0.9796666666666667
7,0.1970776534966986,2.7469016490785007e-06,170.0,0.9796666666666667
8,0.2455714371892419,6.372013231209113e-06,135.0,0.9795
9,0.14242264616086914,3.7992853508852094e-05,176.0,0.9793333333333333
10,0.19595481096264084,6.341320195299075e-05,164.0,0.97925
11,0.16566021832807426,1.6031173466714978e-07,200.0,0.9789166666666667
12,0.12941553000233752,7.04991687298434e-06,252.0,0.9788333333333333
13,0.22088870077112377,1.7812890080152266e-06,292.0,0.97875
14,0.10120745114785382,1.320694506219824e-07,287.0,0.9786666666666667
15,0.12917767438357922,5.898882085471621e-06,249.0,0.9786666666666667
16,0.188960861923541,7.028097775241497e-06,274.0,0.9785833333333334
17,0.14357708238526723,1.2398564742416054e-07,263.0,0.9785833333333334
18,0.2033096278010867,5.959543455244548e-07,188.0,0.9785
19,0.11205025024575498,8.810348265097006e-05,285.0,0.9784166666666667
20,0.2342912479153234,8.071351349230481e-05,130.0,0.9784166666666667
21,0.1723105772693181,4.1328594720761375e-05,255.0,0.9783333333333334
22,0.24578104376331833,8.647242529536968e-07,119.0,0.9783333333333334
23,0.0922767750454099,4.402839591980372e-07,217.0,0.9783333333333334
24,0.1452540737317366,8.196187995705984e-07,129.0,0.9783333333333334
25,0.12577919920737612,2.175785971083039e-06,287.0,0.9783333333333334
26,0.16178311528198766,8.676803464026232e-07,171.0,0.97825
27,0.10868407119621809,1.0377462281603401e-07,201.0,0.9780833333333333
28,0.08430363321090469,1.4927995769396173e-07,278.0,0.9780833333333333
29,0.1729457617065701,2.618528566761191e-06,222.0,0.9780833333333333
30,0.10004537059110302,1.2953298575659643e-07,139.0,0.9779166666666667
31,0.22592648400944548,1.0347400934485898e-05,141.0,0.9778333333333333
32,0.11079239916802207,1.8205900861327356e-06,207.0,0.9775833333333334
33,0.1437174812185639,1.5970560919822124e-05,139.0,0.9774166666666667
34,0.08126349002723894,4.18681890595867e-06,215.0,0.9774166666666667
35,0.0996949062465916,9.292643969616229e-06,221.0,0.9773333333333334
36,0.1027152106415301,1.74252594189713e-07,141.0,0.977
37,0.1018946337153543,3.8305265997476534e-05,174.0,0.9769166666666667
38,0.163799749647077,2.640846052715988e-06,169.0,0.9768333333333333
39,0.0818647225041292,1.6773546469426383e-07,222.0,0.9764166666666667
40,0.0894113319010152,4.1111564564872655e-05,127.0,0.97625
41,0.05228728628970485,8.154300491736236e-05,278.0,0.9756666666666667
42,0.06798923928067763,6.020991903738258e-07,110.0,0.9755833333333334
43,0.05697437657001758,3.618176190030278e-06,298.0,0.9755
44,0.17145921062492364,1.979860875350207e-06,114.0,0.9751666666666666
45,0.05612239271461179,4.9879843794238965e-06,280.0,0.975
46,0.05194422893247311,1.1214963903255673e-06,288.0,0.9749166666666667
47,0.06389707279126743,4.4750775659022347e-05,146.0,0.97475
48,0.05162659471215583,1.4851930549416405e-05,209.0,0.974
49,0.06572113308027278,3.4951310951306036e-05,118.0,0.9738333333333333
